timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779887938.651152,10.0.0.1,10.0.0.34,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0036,0,
1779887938.653958,10.0.0.1,10.0.0.34,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0024,1,
1779887938.6555736,10.0.0.1,10.0.0.34,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0017,1,
1779887938.6570127,10.0.0.1,10.0.0.34,"[10, 11, 12]",14.9998,18.1788,0.0,0.0014,1,
1779887938.658319,10.0.0.1,10.0.0.34,"[11, 12]",14.9998,10.0015,0.0,0.0014,1,
1779887938.6618605,10.0.0.34,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0031,0,
1779887938.6649144,10.0.0.34,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0019,1,
1779887938.6667328,10.0.0.34,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0019,1,
1779887938.6682734,10.0.0.34,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0012,1,
1779887938.6692908,10.0.0.34,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0014,1,
1779887938.6730742,10.0.0.1,10.0.0.35,"[1, 2, 3, 4, 5, 12]",14.9998,39.4076,0.0,0.0019,0,
1779887938.6759484,10.0.0.1,10.0.0.35,"[2, 3, 4, 5, 12]",14.9998,31.6435,0.0,0.0029,1,
1779887938.6795058,10.0.0.1,10.0.0.35,"[3, 10, 11, 12]",14.9998,22.9273,0.0,0.0029,1,
1779887938.682671,10.0.0.1,10.0.0.35,"[10, 11, 12]",14.9998,18.1788,0.0,0.0029,1,
1779887938.6840174,10.0.0.1,10.0.0.35,"[11, 12]",14.9998,10.0015,0.0,0.0019,1,
1779887938.687711,10.0.0.35,10.0.0.1,"[12, 5, 4, 3, 2, 1]",15.0,39.1936,0.0,0.0026,0,
1779887938.6898618,10.0.0.35,10.0.0.1,"[5, 4, 3, 2, 1]",15.0,29.866,0.0,0.0031,1,
1779887938.69368,10.0.0.35,10.0.0.1,"[4, 3, 2, 1]",15.0,21.6135,0.0,0.0026,1,
1779887938.6963754,10.0.0.35,10.0.0.1,"[3, 2, 1]",15.0,15.8862,0.0,0.0026,1,
1779887938.6976469,10.0.0.35,10.0.0.1,"[2, 1]",15.0,7.5508,0.0,0.0012,1,
