timestamp,src_ip,dst_ip,selected_path,throughput_mbps,delay_ms,loss_pct,exec_time_ms,path_changed,topsis_scores
1779886899.2524967,10.0.0.1,10.0.0.31,"[5, 12]",15.0,6.8394,0.0,0.0224,1,
1779886899.2565248,10.0.0.31,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0427,0,
1779886899.2577953,10.0.0.31,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.0198,1,
1779886899.259225,10.0.0.31,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.0253,1,
1779886899.260702,10.0.0.31,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.0174,1,
1779886899.2626631,10.0.0.31,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.0191,1,
1779886899.2686787,10.0.0.1,10.0.0.32,"[1, 2, 3, 4, 5, 12]",15.0,30.6638,0.0,0.0544,0,
1779886899.27081,10.0.0.1,10.0.0.32,"[2, 3, 4, 5, 12]",15.0,24.3388,0.0,0.0322,1,
1779886899.2724552,10.0.0.1,10.0.0.32,"[3, 4, 11, 12]",15.0,21.4739,0.0,0.0198,1,
1779886899.2742105,10.0.0.1,10.0.0.32,"[4, 5, 12]",15.0,13.2473,0.0,0.015,1,
1779886899.2754266,10.0.0.1,10.0.0.32,"[5, 12]",15.0,6.8394,0.0,0.0126,1,
1779886899.2782195,10.0.0.32,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0319,0,
1779886899.2805262,10.0.0.32,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.0398,1,
1779886899.2826347,10.0.0.32,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.021,1,
1779886899.283609,10.0.0.32,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.0114,1,
1779886899.2847993,10.0.0.32,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.01,1,
1779886899.2897396,10.0.0.1,10.0.0.33,"[1, 2, 3, 4, 5, 12]",15.0,30.6638,0.0,0.0331,0,
1779886899.2912884,10.0.0.1,10.0.0.33,"[2, 3, 4, 5, 12]",15.0,24.3388,0.0,0.0424,1,
1779886899.2934582,10.0.0.1,10.0.0.33,"[3, 4, 11, 12]",15.0,21.4739,0.0,0.0219,1,
1779886899.2959237,10.0.0.1,10.0.0.33,"[4, 5, 12]",15.0,13.2473,0.0,0.0372,1,
1779886899.298736,10.0.0.1,10.0.0.33,"[5, 12]",15.0,6.8394,0.0,0.0226,1,
1779886899.3022363,10.0.0.33,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0322,0,
1779886899.3039978,10.0.0.33,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.2038,1,
1779886899.3060234,10.0.0.33,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.0257,1,
1779886899.3073452,10.0.0.33,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.0176,1,
1779886899.3095067,10.0.0.33,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.0224,1,
1779886899.3145375,10.0.0.1,10.0.0.34,"[1, 2, 3, 4, 5, 12]",15.0,30.6638,0.0,0.0327,0,
1779886899.3161592,10.0.0.1,10.0.0.34,"[2, 3, 4, 5, 12]",15.0,24.3388,0.0,0.0277,1,
1779886899.3184521,10.0.0.1,10.0.0.34,"[3, 4, 11, 12]",15.0,21.4739,0.0,0.0188,1,
1779886899.3209028,10.0.0.1,10.0.0.34,"[4, 5, 12]",15.0,13.2473,0.0,0.0248,1,
1779886899.323768,10.0.0.1,10.0.0.34,"[5, 12]",15.0,6.8394,0.0,0.0207,1,
1779886899.3272161,10.0.0.34,10.0.0.1,"[12, 11, 4, 3, 2, 1]",15.0,34.6081,0.0,0.0298,0,
1779886899.3293788,10.0.0.34,10.0.0.1,"[11, 10, 9, 8, 1]",14.9998,24.0101,0.0,0.0207,1,
1779886899.33096,10.0.0.34,10.0.0.1,"[10, 9, 8, 1]",14.9998,17.1834,0.0,0.0181,1,
1779886899.3320208,10.0.0.34,10.0.0.1,"[9, 8, 1]",14.9998,10.4671,0.0,0.0169,1,
1779886899.3337827,10.0.0.34,10.0.0.1,"[8, 1]",15.0,3.4338,0.0,0.0176,1,
1779886899.3399236,10.0.0.1,10.0.0.35,"[1, 2, 3, 4, 5, 12]",15.0,30.6638,0.0,0.0341,0,
1779886899.3411033,10.0.0.1,10.0.0.35,"[2, 3, 4, 5, 12]",15.0,24.3388,0.0,0.0193,1,
1779886899.3425012,10.0.0.1,10.0.0.35,"[3, 4, 11, 12]",15.0,21.4739,0.0,0.0162,1,
1779886899.3438005,10.0.0.1,10.0.0.35,"[4, 5, 12]",15.0,13.2473,0.0,0.016,1,
